Premise,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,combine in address attribute
premise_id,premise_type,premise_address,loc_city,loc_state,loc_postcode,loc_country,
WH001CA,Warehouse,654 S Myers St,Los Angeles,California,94027.0,USA,
WH002CA,Warehouse,655 S Myers St,Los Angeles,California,94027.0,USA,
OF001LA,Office,W Jefferson Dr,Los Angeles,California,94027.0,USA,
OF002LA,Office,10000 Washington Blvd,Los Angeles,California,94027.0,USA,
ST001LA,Store,189 The Grove Dr,Los Angeles,California,94027.0,USA,
ST002SD,Store,4305 La Jolla Village Dr,San Diego,California,94027.0,USA,
WH001TX,Warehouse,15505 Long Vista Dr # 210,Austin,Texas,20001.0,USA,
WH002TX,Warehouse,8002 Burleson Rd,Austin,Texas,20001.0,USA,
ST001AT,Store,3121 Palm Way,Austin,Texas,20001.0,USA,
OF001HT,Office,5085 Westheimer Rd,Houston,Texas,20001.0,USA,
WH001NY,Warehouse,6 W 35th St,New York,New York,10001.0,USA,
WH002NY,Warehouse,"14 Hall St, Brooklyn",New York,New York,10001.0,USA,
OF001NY,Office,767 5th Ave,New York,New York,10001.0,USA,
ST001NY,Store,"Terminal, 45 Grand Central",New York,New York,10001.0,USA,
ST002NY,Store,940 Madison Ave,New York,New York,10001.0,USA,
WH001KL,Warehouse,"9, Jalan Tandang 204a",Kuala Lumpur,Selangor,40150.0,Malaysia,
ST001KL,Store,"3RD FLOOR, Petronas Twin Tower",Kuala Lumpur,Selangor,40150.0,Malaysia,
ST002KL,Store,"G-063, Mid Valley Megamall",Kuala Lumpur,Selangor,40150.0,Malaysia,
OF001KL,Office,"Level 11 Menara CIMB, Jalan Stesen Sentral 2",Kuala Lumpur,Selangor,40150.0,Malaysia,
OF002CHR,Office,"First Floor, AEON Mall",Cheras,Selangor,40150.0,Malaysia,
WH001TYO,Warehouse,2 Chome-33-8 Kitazawa,Shibuya,Tokyo,99687.0,Japan,
ST001SHI,Store,1 Chome-20-9 Jinnan,Shibuya,Tokyo,99687.0,Japan,
OF001SHI,Office,4 Chome-2-13 Jingumae,Shibuya,Tokyo,99687.0,Japan,
ST001AKH,Store,〒101-0021 Tokyo,Akihabara,Tokyo,99687.0,Japan,
ST001HRJ,Store,3 Chome-5-12 Ginza,Harajuku,Tokyo,99687.0,Japan,
WH001WL,Warehouse,"Ty-Glas Ave, Llanishen",Cardiff,Wales,48643.0,England,
WH002WL,Warehouse,10 Duke St,Cardiff,Wales,48643.0,England,
ST001CAR,Store,"63-66 Grand Arcade, St Davids Centre",Cardiff,Wales,48643.0,England,
OF001ED,Office,133 Fountainbridge,Edinburgh,Scotland,48643.0,England,
OF002ED,Office,10 Princes St,Edinburgh,Scotland,48643.0,England,
WH001ST,Warehouse,Shan Mei St,Tai Long Wan,Sha Tin,90033.0,Hong Kong,
WH002ST,Warehouse,8-10 Siu Lek Yuen Road,Tai Long Wan,Sha Tin,90033.0,Hong Kong,
ST001TLW,Store,沙田正街18號 新城市廣場1期L4/426-428,Tai Long Wan,Sha Tin,90033.0,Hong Kong,
OF001TLW,Office,銅鑼灣勿地臣街1號時代廣場第1座24字樓2401室,Tai Long Wan,Sha Tin,90033.0,Hong Kong,
OF002TLW,Office,25號 Canton Rd,Tai Long Wan,Sha Tin,90033.0,Hong Kong,
WH001QL,Warehouse,"3/175 Jackson Rd, Sunnybank Hills",Brisbane,Queensland,23901.0,Australia,
WH002QL,Warehouse,"8 McLachlan St, Fortitude Valley",Brisbane,Queensland,23901.0,Australia,
OF001BB,Office,1151 Creek Road,Brisbane,Queensland,23901.0,Australia,
ST001BB,Store,"MacArthur Chambers, 233 Queen Street",Brisbane,Queensland,23901.0,Australia,
ST002GC,Store,"Australia Fair Shopping Centre, 42 Marine Parade",Gold Coast,Queensland,23901.0,Australia,
OF001KB,Office,968 U Chu Liang Bldg.,Krabi,Krabi,11111.0,Thailand,
ST001KB,Store,"254/5, Krabi Noi, Mueang Krabi District",Krabi,Krabi,11111.0,Thailand,
WH001BJ,Warehouse,Haidian District,Beijing,Beijing,79218.0,China,
WH002SH,Warehouse,Minhang District,Shanghai,Shanghai,79218.0,China,
OF001BJ,Office,"71 Di'anmen W St, Shi Cha Hai, Xicheng District",Beijing,Beijing,79218.0,China,
ST001BJ,Store,"131 Xidan N St, Xi Dan, Xicheng District",Beijing,Beijing,79218.0,China,
ST002BJ,Store,101 Chaoyang N Rd,Beijing,Beijing,79218.0,China,
ST003SH,Store,"Dongcheng, Wangfujing",Shanghai,Shanghai,79218.0,China,
WH001VAN,Warehouse,22753 Dewdney Trunk Rd,Maple Ridge,Vancouver,99431.0,Canada,
OF001COQ,Office,3030 Lincoln Ave #211,Coquitlam,Vancouver,99431.0,Canada,
ST001COQ,Store,2929 Barnet Hwy,Coquitlam,Vancouver,99431.0,Canada,
